NAME,M2,AVGKG/M2,KCAL/KG,GPROT/KG,GCARB/KG,GFAT/KG,PERC_REQ_REPLANT,HARVEST_DAY
Potato,500,1.5,870,19,201,1,15,267
Carrot,150,3.4,410,9,96,2,5,264
Onion (Yellow),150,6.4,400,11,93,1,10,280
Redbeet,200,2,430,16,96,2,10,267
Spinach,50,0.9,230,29,36,4,10,235
Farmers Bean,300,0.6,880,80,180,7,20,233
Green Pea,150,0.4,810,50,140,4,20,242
Cabbage,50,3.5,250,13,58,1,10,244
Celeriac,20,1.4,420,15,92,3,10,245
Tomato,50,2,160,12,32,2,3,263
Sunflower,50,0.1,5840,210,200,510,5,253
Strawberry,50,0.5,320,7,77,3,1,215
Pumpkin,30,2,440,10,120,1,3,273
Parsenips,30,2,710,17,126,6,10,264
Squash,30,4,170,12,22,0,5,200
Jerusalem Artichoke,300,3,720,20,170,0,10,265
Grain,250,0.3,354,120,730,23,10,260
